"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/30/2025","AirNow","061130004","3","12.4","ug/m3 LC","57","Davis-UCD Campus","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","113","Yolo","38.53445","-121.7734"
"01/31/2025","AirNow","061130004","3","14.9","ug/m3 LC","62","Davis-UCD Campus","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","113","Yolo","38.53445","-121.7734"
"02/01/2025","AirNow","061130004","3","22.8","ug/m3 LC","77","Davis-UCD Campus","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","113","Yolo","38.53445","-121.7734"
"02/02/2025","AirNow","061130004","3","2","ug/m3 LC","11","Davis-UCD Campus","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","113","Yolo","38.53445","-121.7734"
"02/03/2025","AirNow","061130004","3","0.2","ug/m3 LC","1","Davis-UCD Campus","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","113","Yolo","38.53445","-121.7734"
"02/04/2025","AirNow","061130004","3","6.6","ug/m3 LC","37","Davis-UCD Campus","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","113","Yolo","38.53445","-121.7734"
"02/05/2025","AirNow","061130004","3","1.1","ug/m3 LC","6","Davis-UCD Campus","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","113","Yolo","38.53445","-121.7734"
"02/06/2025","AirNow","061130004","3","5.4","ug/m3 LC","30","Davis-UCD Campus","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","113","Yolo","38.53445","-121.7734"
"02/07/2025","AirNow","061130004","3","1.8","ug/m3 LC","10","Davis-UCD Campus","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","113","Yolo","38.53445","-121.7734"
"02/08/2025","AirNow","061130004","3","1.6","ug/m3 LC","9","Davis-UCD Campus","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","113","Yolo","38.53445","-121.7734"
"02/09/2025","AirNow","061130004","3","1","ug/m3 LC","6","Davis-UCD Campus","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","113","Yolo","38.53445","-121.7734"
"02/10/2025","AirNow","061130004","3","0.5","ug/m3 LC","3","Davis-UCD Campus","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","113","Yolo","38.53445","-121.7734"
"02/11/2025","AirNow","061130004","3","5.9","ug/m3 LC","33","Davis-UCD Campus","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","113","Yolo","38.53445","-121.7734"
"02/12/2025","AirNow","061130004","3","5.2","ug/m3 LC","29","Davis-UCD Campus","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","113","Yolo","38.53445","-121.7734"
"02/13/2025","AirNow","061130004","3","4.5","ug/m3 LC","25","Davis-UCD Campus","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","113","Yolo","38.53445","-121.7734"
"02/14/2025","AirNow","061130004","3","2.2","ug/m3 LC","12","Davis-UCD Campus","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","113","Yolo","38.53445","-121.7734"
"02/15/2025","AirNow","061130004","3","1.3","ug/m3 LC","7","Davis-UCD Campus","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","113","Yolo","38.53445","-121.7734"
"02/16/2025","AirNow","061130004","3","4.9","ug/m3 LC","27","Davis-UCD Campus","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","113","Yolo","38.53445","-121.7734"
"02/17/2025","AirNow","061130004","3","1","ug/m3 LC","6","Davis-UCD Campus","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","113","Yolo","38.53445","-121.7734"
"02/18/2025","AirNow","061130004","3","2.3","ug/m3 LC","13","Davis-UCD Campus","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","113","Yolo","38.53445","-121.7734"
"02/19/2025","AirNow","061130004","3","3.1","ug/m3 LC","17","Davis-UCD Campus","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","113","Yolo","38.53445","-121.7734"
"02/20/2025","AirNow","061130004","3","1.2","ug/m3 LC","7","Davis-UCD Campus","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","113","Yolo","38.53445","-121.7734"
"02/21/2025","AirNow","061130004","3","2.8","ug/m3 LC","16","Davis-UCD Campus","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","113","Yolo","38.53445","-121.7734"
"02/22/2025","AirNow","061130004","3","6.7","ug/m3 LC","37","Davis-UCD Campus","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","113","Yolo","38.53445","-121.7734"
"02/23/2025","AirNow","061130004","3","2.4","ug/m3 LC","13","Davis-UCD Campus","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","113","Yolo","38.53445","-121.7734"
"02/24/2025","AirNow","061130004","3","1.3","ug/m3 LC","7","Davis-UCD Campus","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","113","Yolo","38.53445","-121.7734"
"02/25/2025","AirNow","061130004","3","2.4","ug/m3 LC","13","Davis-UCD Campus","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","113","Yolo","38.53445","-121.7734"
"02/26/2025","AirNow","061130004","3","4.8","ug/m3 LC","27","Davis-UCD Campus","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","113","Yolo","38.53445","-121.7734"
"02/27/2025","AirNow","061130004","3","6.2","ug/m3 LC","34","Davis-UCD Campus","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","113","Yolo","38.53445","-121.7734"
"02/28/2025","AirNow","061130004","3","6.6","ug/m3 LC","37","Davis-UCD Campus","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","113","Yolo","38.53445","-121.7734"
"03/01/2025","AirNow","061130004","3","6.9","ug/m3 LC","38","Davis-UCD Campus","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","113","Yolo","38.53445","-121.7734"
"03/02/2025","AirNow","061130004","3","1.2","ug/m3 LC","7","Davis-UCD Campus","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","113","Yolo","38.53445","-121.7734"
"03/03/2025","AirNow","061130004","3","1.5","ug/m3 LC","8","Davis-UCD Campus","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","113","Yolo","38.53445","-121.7734"
"03/04/2025","AirNow","061130004","3","2.2","ug/m3 LC","12","Davis-UCD Campus","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","113","Yolo","38.53445","-121.7734"
"03/05/2025","AirNow","061130004","3","3.1","ug/m3 LC","17","Davis-UCD Campus","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","113","Yolo","38.53445","-121.7734"
"03/06/2025","AirNow","061130004","3","2.7","ug/m3 LC","15","Davis-UCD Campus","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","113","Yolo","38.53445","-121.7734"
